date,n_events,n_users,n_purchase,A_d,Z_robust,event_level
2019-11-29 00:00:00+00:00,194747,21765,17989,2.2395791109925978,3.5946758773242053,1
2019-11-30 00:00:00+00:00,152198,18671,13256,0.8541851936924217,1.3927567770206564,0
2019-12-01 00:00:00+00:00,119665,17519,7230,-0.3420216717030519,-0.5084719723891236,0
2019-12-02 00:00:00+00:00,127056,19354,9072,0.15599595310683304,0.2830678970031938,0
2019-12-03 00:00:00+00:00,129812,18722,8212,0.023059854158858677,0.071781755395309,0
2019-12-04 00:00:00+00:00,130077,18808,8366,0.0530225231370778,0.11940385932931834,0
2019-12-05 00:00:00+00:00,120192,18148,7761,-0.20679079146036927,-0.2935385484446131,0
2019-12-06 00:00:00+00:00,113060,16890,7379,-0.4741450676119481,-0.7184664190340996,0
2019-12-07 00:00:00+00:00,103871,15486,6014,-0.8928250302394541,-1.3839084966350017,0
2019-12-08 00:00:00+00:00,114619,16819,6592,-0.5515864336249338,-0.8415502732709479,0
2019-12-09 00:00:00+00:00,148248,19739,9293,0.47876397908983587,0.796069341938263,0
2019-12-10 00:00:00+00:00,139125,19316,9793,0.3783800920867968,0.636521075272377,0
2019-12-11 00:00:00+00:00,137005,20116,9387,0.3952187813517943,0.663284172073704,0
2019-12-12 00:00:00+00:00,130845,18896,9395,0.1875899021748398,0.33328272690690297,0
2019-12-13 00:00:00+00:00,114404,17538,7791,-0.34034196583867554,-0.5058022794018251,0
2019-12-14 00:00:00+00:00,104016,16430,6036,-0.784734291468007,-1.2121111043593134,0
2019-12-15 00:00:00+00:00,114978,17977,7019,-0.3718606373290357,-0.5558974645359313,0
2019-12-16 00:00:00+00:00,133360,19366,9222,0.25019652486468363,0.4327885184256883,0
2019-12-17 00:00:00+00:00,123421,18845,8419,-0.01722167628245858,0.007759046647572217,0
2019-12-18 00:00:00+00:00,121926,18757,7817,-0.1125771629279947,-0.14379717482965287,0
2019-12-19 00:00:00+00:00,110347,17884,7142,-0.42412220273730644,-0.6389610160985739,0
2019-12-20 00:00:00+00:00,94460,16572,6304,-0.8542405838678789,-1.322583101468133,0
2019-12-21 00:00:00+00:00,92163,16055,5601,-1.0178205276092591,-1.5825739950709106,0
2019-12-22 00:00:00+00:00,100393,16219,6084,-0.8462505386016724,-1.3098838734260208,0
2019-12-23 00:00:00+00:00,110272,18425,6925,-0.38988246878421595,-0.5845410253369959,0
2019-12-24 00:00:00+00:00,104535,17330,6895,-0.582925866145766,-0.8913605793496505,0
2019-12-25 00:00:00+00:00,101875,16909,6664,-0.6872846788093044,-1.0572265182853824,0
2019-12-26 00:00:00+00:00,87098,16107,5908,-1.038686493125525,-1.6157379691888842,0
2019-12-27 00:00:00+00:00,76815,14580,4702,-1.4662280178068654,-2.295264447263327,0
2019-12-28 00:00:00+00:00,77163,14561,4779,-1.4554697489687418,-2.2781654566116076,0
2019-12-29 00:00:00+00:00,71455,14330,3490,-1.6945622128871964,-2.6581745330673785,0
2019-12-30 00:00:00+00:00,58870,13238,2632,-2.0628990945731043,-3.2436022623236176,0
2019-12-31 00:00:00+00:00,29406,7426,1125,-3.2270694433199587,-5.093912773220226,0
2020-01-01 00:00:00+00:00,75971,12292,3268,-1.8892893984511758,-2.9676702684588423,0
2020-01-02 00:00:00+00:00,97586,14678,4871,-1.1859592718378054,-1.8498105606387607,0
2020-01-03 00:00:00+00:00,108623,16117,6027,-0.7646255871969907,-1.1801507070573003,0
2020-01-04 00:00:00+00:00,109889,16792,6599,-0.6108140546029227,-0.9356855428635281,0
2020-01-05 00:00:00+00:00,114594,17303,7218,-0.42829264917420257,-0.6455894454221918,0
2020-01-06 00:00:00+00:00,102173,16416,6362,-0.7718704551397003,-1.1916655642419751,0
2020-01-07 00:00:00+00:00,118346,17835,7559,-0.286190854483403,-0.41973551896144135,0
2020-01-08 00:00:00+00:00,124246,19423,7600,-0.03569999873426974,-0.021610052379152464,0
2020-01-09 00:00:00+00:00,137299,20774,8764,0.4011625482999161,0.6727310837479861,0
2020-01-10 00:00:00+00:00,124475,19734,8566,0.10982526040479519,0.20968506424687308,0
2020-01-11 00:00:00+00:00,123231,20083,7460,0.008949249766688558,0.04935462550831207,0
2020-01-12 00:00:00+00:00,137585,21328,8140,0.395454161976885,0.663658281623166,0
2020-01-13 00:00:00+00:00,152027,22228,10118,0.8909078640119589,1.4511231002598386,0
2020-01-14 00:00:00+00:00,154639,23354,10304,1.0672038592139517,1.731324647483884,0
2020-01-15 00:00:00+00:00,150476,23216,9950,0.962037254951498,1.5641748197360936,0
2020-01-16 00:00:00+00:00,138155,19870,9341,0.37685108758021735,0.6340909041958007,0
2020-01-17 00:00:00+00:00,131934,18633,9259,0.1565032517482222,0.28387418794621283,0
2020-01-18 00:00:00+00:00,112166,16683,6191,-0.6411916604534829,-0.9839671396776627,0
2020-01-19 00:00:00+00:00,128445,18089,8152,-0.06981801235884559,-0.07583658313422635,0
2020-01-20 00:00:00+00:00,143941,20294,9008,0.4558659237980672,0.7596756024558426,0
2020-01-21 00:00:00+00:00,141911,20749,9160,0.498528147004907,0.8274821396201025,0
2020-01-22 00:00:00+00:00,131004,19767,9079,0.24983811691440475,0.43221887155373023,0
2020-01-23 00:00:00+00:00,134808,20095,8688,0.2878700698621371,0.49266614403826275,0
2020-01-24 00:00:00+00:00,128384,18994,8770,0.09846610310829057,0.1916310327528785,0
2020-01-25 00:00:00+00:00,113684,17631,6761,-0.4545270730616469,-0.6872859465558163,0
2020-01-26 00:00:00+00:00,126707,18997,8174,0.011602795771697502,0.053572121744581,0
2020-01-27 00:00:00+00:00,194602,22116,18309,2.3124080843161736,3.710428881155196,1
2020-01-28 00:00:00+00:00,174412,21094,17348,1.8484844245748302,2.9730773201941756,1
2020-01-29 00:00:00+00:00,137209,21686,7600,0.3696344638175128,0.622620937780927,0
2020-01-30 00:00:00+00:00,134947,21308,7581,0.298628030986206,0.5097646456150369,0
2020-01-31 00:00:00+00:00,125694,21555,7343,0.18747303437111243,0.3330969794122558,0
2020-02-01 00:00:00+00:00,128777,21812,7430,0.2627075444040448,0.45267329815799406,0
2020-02-02 00:00:00+00:00,141802,23114,8711,0.7069874452621406,1.1588034372933205,0
2020-02-03 00:00:00+00:00,161059,23399,9991,1.1144098874550863,1.806353023121758,0
2020-02-04 00:00:00+00:00,147887,21876,8931,0.6688725965956576,1.0982244119086408,0
2020-02-05 00:00:00+00:00,144574,19937,9497,0.4791644820690706,0.796705893859484,0
2020-02-06 00:00:00+00:00,135302,19512,9203,0.28754657403349,0.4921519858374279,0
2020-02-07 00:00:00+00:00,129866,19552,7878,0.07750792246438173,0.15832049364110906,0
2020-02-08 00:00:00+00:00,115618,17403,7155,-0.41201906586862097,-0.6197245174306125,0
2020-02-09 00:00:00+00:00,138600,19777,8636,0.2927681465511334,0.5004510552332466,0
2020-02-10 00:00:00+00:00,148396,21160,8966,0.6001610359624208,0.9890155465594739,0
2020-02-11 00:00:00+00:00,140183,20865,9435,0.521352443933031,0.8637586489431521,0
2020-02-12 00:00:00+00:00,152868,21183,9561,0.7234802171214499,1.1850167394599225,0
2020-02-13 00:00:00+00:00,133121,19544,9087,0.2517307321027627,0.4352269586260997,0
2020-02-14 00:00:00+00:00,111831,16899,6943,-0.5369671070241848,-0.8183145898499489,0
2020-02-15 00:00:00+00:00,113688,17841,6029,-0.5136226131689369,-0.7812112892905225,0
2020-02-16 00:00:00+00:00,125155,18403,7401,-0.15933045739659024,-0.2181059839033476,0
2020-02-17 00:00:00+00:00,144915,20874,9032,0.5341274594167867,0.8840630188765597,0
2020-02-18 00:00:00+00:00,139368,20470,8688,0.38412513264125164,0.6456521349449391,0
2020-02-19 00:00:00+00:00,140453,20278,8931,0.4033884664232619,0.6762689162520139,0
2020-02-20 00:00:00+00:00,124201,18752,8380,-0.022430113923046485,-0.0005191464210823091,0
2020-02-21 00:00:00+00:00,109997,17062,7555,-0.47238298807017864,-0.7156658028693935,0
2020-02-22 00:00:00+00:00,102996,15989,6180,-0.8293790027124054,-1.2830685708163265,0
2020-02-23 00:00:00+00:00,113336,15871,6230,-0.7120452289662099,-1.096580472163542,0
2020-02-24 00:00:00+00:00,131756,18326,8018,-0.018866931191240194,0.005144109362749803,0
2020-02-25 00:00:00+00:00,147411,20288,9716,0.5766073001961255,0.9515796808322889,0
2020-02-26 00:00:00+00:00,141230,20248,9125,0.43125667117340843,0.7205621180368907,0
2020-02-27 00:00:00+00:00,139386,20734,9722,0.5295750111878791,0.876827443071586,0
2020-02-28 00:00:00+00:00,128644,19150,8326,0.06887701587486351,0.14460269263514566,0
2020-02-29 00:00:00+00:00,127870,19166,7053,-0.08173623363071934,-0.09477918042188051,0
